open_time,open,high,low,close,volume
1750046400000,105921.85,107262.31,105874.48,107061.8,2778.21159
1750060800000,107061.8,107255.01,106582.25,106883.99,2148.92551
1750075200000,106884.0,107784.26,106495.09,107424.96,2538.358
1750089600000,107424.96,108888.0,107309.15,108652.0,2748.12533
1750104000000,108652.01,108952.38,106700.0,106794.53,3029.00687
1750118400000,106794.53,107771.34,106115.35,107590.41,3025.95246
1750132800000,107590.41,107711.06,106481.6,106758.52,1696.95424
1750147200000,106758.52,106822.78,105508.23,105641.47,2408.54535
1750161600000,105641.48,105862.03,104130.95,104241.63,4308.26392
1750176000000,104241.62,105336.82,103371.02,104686.12,4719.96669
1750190400000,104686.12,104898.81,104203.85,104551.17,1706.64759
1750204800000,104551.17,105240.0,104379.52,105184.84,1346.38636
1750219200000,105184.84,105550.27,104713.24,104973.24,1758.92527
1750233600000,104973.24,105310.62,104175.87,104840.59,1900.45623
1750248000000,104840.58,105325.83,103814.04,104801.01,4024.47787
1750262400000,104801.01,104836.64,103500.0,103808.41,3290.4773
1750276800000,103808.41,105139.87,103652.0,104886.78,1647.91864
1750291200000,104886.79,105226.17,104457.12,105100.02,1479.10507
1750305600000,105100.01,105220.0,104617.69,104642.85,1132.25759
1750320000000,104642.85,105073.53,104631.26,104776.23,949.58523
1750334400000,104776.23,104917.05,104078.0,104096.93,1595.4989
1750348800000,104096.94,104814.73,103929.27,104250.44,1624.22301
1750363200000,104250.45,104898.31,104150.0,104658.59,897.93757
1750377600000,104658.59,104820.0,104391.38,104596.63,1026.45735
1750392000000,104596.64,105825.66,104238.02,105811.74,1878.07017
1750406400000,105811.74,106524.65,105757.48,105977.82,2862.78664
1750420800000,105977.82,106149.17,103888.0,104217.99,3668.86931
1750435200000,104218.0,104269.64,102345.0,103307.22,5227.49835
1750449600000,103307.21,103828.0,102963.67,103297.99,1755.38101
1750464000000,103297.98,103691.67,103127.48,103495.87,750.73411
1750478400000,103495.86,103599.04,103330.0,103458.5,686.61118
1750492800000,103458.5,103982.64,103458.49,103874.64,1188.56205
1750507200000,103874.63,103946.47,103281.82,103560.9,1449.27436
1750521600000,103560.9,103640.0,102210.43,102245.1,2365.40427
1750536000000,102245.11,102888.88,100837.9,102120.01,4713.62735
1750550400000,102120.02,103399.62,101839.96,102375.4,4339.90882
1750564800000,102375.4,102946.47,102256.01,102424.61,1481.73109
1750579200000,102424.61,102804.05,102080.0,102739.48,1801.30685
1750593600000,102739.47,102831.0,98889.35,98906.21,12422.58545
1750608000000,98906.21,100380.0,98673.66,98882.84,4419.40202
1750622400000,98882.85,101034.65,98200.0,100963.87,4281.47649
1750636800000,100963.87,101620.0,100494.25,101154.14,2930.22354
1750651200000,101154.13,102137.0,100980.0,101931.04,2509.06943
1750665600000,101931.04,102080.0,101102.76,101289.01,2527.52051
1750680000000,101289.0,102613.09,100792.16,101420.7,4451.665
1750694400000,101420.71,103300.0,99613.33,103161.29,7496.3725
1750708800000,103161.3,106074.2,102880.0,105333.93,7751.65511
1750723200000,105333.94,105500.0,104720.82,104919.6,2882.14256
1750737600000,104919.6,105811.0,104704.91,104933.74,3158.97987
1750752000000,104933.74,105571.4,104622.02,105170.0,2216.8644
1750766400000,105169.99,105731.92,104800.98,105244.73,2933.73072
1750780800000,105244.72,106290.0,105172.64,105643.19,2366.40087
1750795200000,105643.2,106119.11,105435.45,106083.0,1093.57493
1750809600000,106083.0,106791.18,105808.03,106232.01,2385.0945
1750824000000,106232.01,106702.0,106001.0,106600.01,1317.62334
1750838400000,106600.0,107237.44,106343.13,107198.02,2272.81569
1750852800000,107198.02,108135.3,106752.36,107028.0,7497.00314
1750867200000,107027.99,107905.37,106931.0,107761.68,2109.69446
1750881600000,107761.67,108000.0,107079.9,107340.58,1118.92438
1750896000000,107340.59,108272.45,107105.43,107853.79,1896.83706
1750910400000,107853.79,108085.92,107520.0,107813.99,1290.81871
1750924800000,107813.99,108174.86,107117.65,107325.41,2010.44306
1750939200000,107325.42,107765.55,106562.5,107313.6,2623.12904
1750953600000,107313.61,107669.74,107009.28,107532.98,1252.6466
1750968000000,107532.97,108000.0,106850.0,106947.06,1499.39832
1750982400000,106947.06,107515.28,106438.33,107477.76,1472.30428
1750996800000,107477.76,107735.34,106850.0,106869.71,1946.05962
1751011200000,106869.72,107159.95,106679.98,106983.6,2318.07544
1751025600000,106983.6,107407.14,106356.76,107308.25,3704.52866
1751040000000,107308.25,107709.22,106446.45,106801.02,1987.48356
1751054400000,106801.02,107277.99,106794.33,107047.59,803.98886
1751068800000,107047.58,107347.1,106811.51,107300.13,775.04704
1751083200000,107300.13,107496.12,107183.29,107485.0,497.62159
1751097600000,107485.01,107493.07,107252.6,107373.39,416.2984
1751112000000,107373.39,107577.75,107084.15,107449.28,714.87392
1751126400000,107449.28,107542.5,107225.74,107225.74,499.08961
1751140800000,107225.74,107378.37,107154.62,107296.79,379.24296
1751155200000,107296.79,107500.0,107172.52,107210.78,534.03453
1751169600000,107210.78,107402.18,107205.82,107402.18,340.57663
1751184000000,107402.17,108484.0,107402.17,108477.11,1988.92767
1751198400000,108477.12,108528.5,107650.0,107750.72,1320.45894
1751212800000,107750.72,107792.05,107316.46,107406.81,1188.5295
1751227200000,107406.8,108436.47,107250.0,108356.93,1459.20913
1751241600000,108356.93,108789.99,108255.81,108503.74,1564.16827
1751256000000,108503.74,108538.76,107481.31,107614.08,1581.27553
1751270400000,107614.07,107964.33,107400.0,107654.2,1242.20442
1751284800000,107654.21,107858.79,106733.33,107580.46,2980.03437
1751299200000,107580.47,107807.94,107116.4,107745.97,1314.82691
1751313600000,107745.97,107764.73,106900.02,107146.5,1071.61541
1751328000000,107146.51,107540.0,107026.93,107192.38,973.46
1751342400000,107192.39,107203.11,106615.97,107178.99,1267.97836
1751356800000,107178.99,107178.99,106301.86,106605.8,1434.81634
1751371200000,106605.79,107179.99,105623.39,105955.18,3974.69567
1751385600000,105955.19,106287.95,105387.68,105398.53,1690.90273
1751400000000,105398.52,106100.0,105250.85,105681.14,1163.77127
1751414400000,105681.13,106216.08,105100.19,106194.7,1453.64233
1751428800000,106194.7,107186.78,106131.55,107080.0,1903.51108
1751443200000,107080.0,107860.23,107080.0,107479.99,2147.6808
1751457600000,107479.98,108759.2,107186.1,108737.74,3227.14121
1751472000000,108737.75,109730.0,108650.97,109676.14,5656.10907
1751486400000,109676.14,109676.14,108720.0,108849.6,3303.81143
1751500800000,108849.59,109115.03,108530.4,108628.21,1439.99562
1751515200000,108628.2,109548.0,108566.14,109280.0,1560.58968
1751529600000,109279.99,110273.21,109279.99,109599.19,3249.5488
1751544000000,109599.18,110529.18,108749.99,109127.84,4201.7259
1751558400000,109127.85,109910.1,109020.8,109803.41,1688.44383
1751572800000,109803.41,110000.0,109510.0,109584.78,906.77842
1751587200000,109584.77,109767.59,109103.71,109235.57,1002.72236
1751601600000,109235.58,109329.6,108700.0,108700.0,1609.06105
1751616000000,108700.0,109111.0,108518.83,108888.0,1086.39121
1751630400000,108888.0,108978.64,107505.0,107573.29,3616.08946
1751644800000,107573.29,107922.5,107245.0,107469.23,3431.70312
1751659200000,107469.22,108279.33,107440.63,107984.24,1047.89895
1751673600000,107984.25,108259.99,107756.31,108154.72,766.63785
1751688000000,108154.72,108420.56,108000.0,108053.46,660.13042
1751702400000,108053.46,108219.19,107870.42,108112.21,675.37974
1751716800000,108112.2,108232.29,107971.0,108058.0,564.4708
1751731200000,108058.0,108167.23,107864.75,108141.78,586.1961
1751745600000,108141.78,108250.0,107993.39,108198.12,484.16079
1751760000000,108198.12,108268.35,108025.97,108050.49,397.25464
1751774400000,108050.49,108218.0,107930.45,108040.31,497.89684
1751788800000,108040.31,108111.0,107800.01,108076.01,740.99603
1751803200000,108076.0,109127.03,108045.76,108905.99,2193.35606
1751817600000,108906.0,108966.62,108266.67,108538.46,922.00834
1751832000000,108538.45,109700.0,108536.86,109203.84,1696.09509
1751846400000,109203.85,109700.0,108679.75,109389.47,1313.66179
1751860800000,109389.46,109447.54,108654.94,109061.08,1068.89272
1751875200000,109061.07,109087.86,108572.52,108642.01,1793.43934
1751889600000,108642.01,108660.0,107970.0,108292.59,2516.39623
1751904000000,108292.59,108493.56,107513.2,108056.68,1826.11433
1751918400000,108056.67,108300.0,107800.01,108262.94,886.8716
1751932800000,108262.94,108525.0,107429.57,107901.52,2011.55999
1751947200000,107901.52,108499.0,107750.0,108484.61,1010.06569
1751961600000,108484.61,109005.0,108229.15,108756.37,1314.23794
1751976000000,108756.37,109216.56,108217.07,108268.35,1848.45054
1751990400000,108268.35,109147.56,108096.55,108771.88,2426.90745
1752004800000,108771.87,108974.0,108624.0,108922.98,604.79919
1752019200000,108922.99,109136.0,108348.0,108376.41,994.80226
1752033600000,108376.41,108942.2,108324.53,108714.39,1001.59915
1752048000000,108714.39,109117.0,108553.18,109058.27,1275.99616
1752062400000,109058.27,109769.39,108503.0,109071.32,4108.39131
1752076800000,109071.32,111999.79,109047.49,111750.0,6338.57455
1752091200000,111749.99,111952.33,110559.4,111233.99,3562.92307
1752105600000,111234.0,111581.0,110880.0,111074.51,1687.73466
1752120000000,111074.52,111432.46,110898.0,111230.0,1667.11413
1752134400000,111229.99,111398.96,110870.33,111019.99,1407.79297
1752148800000,111019.99,111408.41,110500.0,111408.4,2221.21737
1752163200000,111408.4,113788.23,111322.32,113301.81,7461.037691
1752177600000,113301.8,116868.0,113270.98,116010.0,10438.553844
1752192000000,116010.01,116950.0,115222.22,116881.7,4456.671301
1752206400000,116881.69,118404.22,116500.0,117526.88,7940.173377
1752220800000,117526.88,118869.98,117526.88,117821.91,4664.06161
1752235200000,117821.91,118259.24,116724.66,116902.59,4711.37408
1752249600000,116902.58,118138.75,116604.87,118108.81,2754.72647
1752264000000,118108.81,118108.81,117146.8,117527.66,1346.51431
1752278400000,117527.66,117847.66,117141.13,117774.42,1268.81982
1752292800000,117774.42,118054.79,117506.37,117731.99,1157.69575
1752307200000,117731.99,118200.0,117625.0,117810.0,1459.36466
1752321600000,117810.0,117861.19,116900.05,117100.01,2887.39027
1752336000000,117100.0,117639.98,117045.86,117550.96,961.54328
1752350400000,117550.96,117563.75,117000.01,117420.0,711.79059
1752364800000,117420.0,117824.76,117224.79,117753.6,696.41148
1752379200000,117753.59,118054.79,117684.22,117999.0,867.97982
1752393600000,117998.99,118086.66,117689.63,118072.01,685.44893
1752408000000,118072.01,119376.0,117989.53,118672.24,3891.104317
1752422400000,118672.23,119488.0,118382.56,118961.08,1749.40157
1752436800000,118961.09,119367.37,118243.68,119086.64,1660.44683
1752451200000,119086.65,121492.48,118905.18,120750.24,5418.532886
1752465600000,120750.25,123218.0,120557.63,122736.04,6981.800221
1752480000000,122736.04,122769.19,121355.55,121467.24,3279.33527
1752494400000,121467.23,122120.0,119611.7,119878.23,6047.71252
1752508800000,119878.22,120526.03,119202.0,119939.41,4127.24496
1752523200000,119939.42,120447.0,119522.72,119841.18,1414.72302
1752537600000,119841.17,119940.83,116840.01,117148.47,6623.40172
1752552000000,117148.46,117765.4,116250.0,116779.12,5478.80575
1752566400000,116779.13,117224.08,116300.0,117113.98,3612.34292
1752580800000,117113.98,118490.71,115736.92,116391.43,8662.27705
1752595200000,116391.43,117800.6,116019.05,116416.07,5395.39361
1752609600000,116416.07,117972.86,116192.27,117758.09,2246.23978
1752624000000,117758.08,118195.0,117017.29,117482.67,2060.70862
1752638400000,117482.67,118300.0,117275.63,118189.25,1653.72862
1752652800000,118189.24,119310.75,118113.82,118769.06,2658.37376
1752667200000,118769.06,119794.8,118181.14,119095.76,4851.16642
1752681600000,119095.76,119904.13,118471.38,119230.16,2877.33424
1752696000000,119230.16,120063.84,118420.0,118630.43,2938.59685
1752710400000,118630.44,119158.28,117683.53,118128.8,2234.06203
1752724800000,118128.8,118772.0,117857.03,118311.75,2080.63383
1752739200000,118311.75,119192.0,117974.99,117995.0,2041.88316
1752753600000,117995.0,119073.46,117453.57,118881.99,3175.79483
1752768000000,118881.99,119880.13,118333.6,118959.66,2433.94045
1752782400000,118959.66,120998.71,118383.97,119177.56,3762.26221
1752796800000,119177.56,120785.49,119020.48,120223.09,2672.86935
1752811200000,120223.08,120820.71,119287.72,119339.51,3649.17934
1752825600000,119339.51,119469.21,118395.0,119171.34,3814.49483
1752840000000,119171.35,119531.48,117315.69,117860.25,5020.77844
1752854400000,117860.24,118054.92,117120.53,117374.76,2564.58563
1752868800000,117374.75,118021.62,116812.76,117924.84,2202.75507
1752883200000,117924.84,118371.42,117613.35,118322.54,1323.00452
1752897600000,118322.53,118364.0,118044.19,118163.06,828.72543
1752912000000,118163.07,118499.9,117943.25,118327.06,1123.42732
1752926400000,118327.05,118327.06,117627.71,118058.11,1656.6673
1752940800000,118058.1,118161.51,117605.26,118007.88,780.27633
1752955200000,118007.88,118141.0,117277.34,117840.0,923.70216
1752969600000,117840.01,118165.38,117650.0,117958.01,1216.03617
1752984000000,117958.0,118218.0,117760.67,118029.49,940.72723
1752998400000,118029.49,118277.17,117819.88,117878.46,1800.2823
1753012800000,117878.46,118799.8,117723.23,118671.11,3280.10469
1753027200000,118671.12,118856.8,117960.0,118155.01,2119.12806
1753041600000,118155.0,118263.0,116467.02,117265.12,3606.65044
1753056000000,117265.11,118614.7,116515.0,118404.0,2794.62163
1753070400000,118404.01,119676.73,118188.95,119362.67,2783.66639
1753084800000,119364.18,119500.0,118070.16,118070.17,2511.88984
1753099200000,118070.17,119233.71,117778.7,118313.16,3505.38294
1753113600000,118313.16,118399.1,116666.0,116767.67,3816.98929
1753128000000,116767.67,117633.66,116656.88,117380.36,1694.78119
1753142400000,117380.36,117950.0,116128.0,117210.0,3707.46413
1753156800000,117210.0,118594.55,116552.18,117983.68,4279.84175
1753171200000,117983.69,119188.3,117488.19,119154.99,3376.79135
1753185600000,119154.99,119573.53,117550.0,118912.04,4597.23931
1753200000000,118912.04,120183.96,118368.19,119282.1,3067.62854
1753214400000,119282.11,120247.8,119203.2,119954.42,1930.16465
1753228800000,119954.43,120090.0,118532.96,118614.17,2068.11927
1753243200000,118614.16,119006.05,118288.2,118350.35,1564.23355
1753257600000,118350.35,118619.79,117844.24,118538.46,1801.10341
1753272000000,118538.46,118708.24,117301.0,118567.39,4037.18842
1753286400000,118567.39,118567.39,117331.63,118393.64,2651.82367
1753300800000,118393.64,118756.0,117381.8,118755.99,2436.28251
1753315200000,118756.0,119273.36,118466.71,118488.92,1878.28334
1753329600000,118488.92,118610.25,117103.1,118416.21,3786.93245
1753344000000,118416.21,118814.47,117955.59,118600.0,2404.15809
1753358400000,118600.0,119450.0,117832.32,119092.65,4139.29216
1753372800000,119092.65,119395.81,118350.0,118943.42,2166.82662
1753387200000,118943.42,119010.64,118166.94,118340.99,1431.39777
1753401600000,118340.98,118451.57,115330.86,115419.66,11127.20493
1753416000000,115419.65,116144.63,114723.16,115320.01,8835.25163
1753430400000,115320.01,116782.13,115008.85,116543.58,7216.21136
1753444800000,116543.59,116656.99,114908.0,115727.08,6361.79335
1753459200000,115727.07,116997.21,115455.46,116688.6,3089.40882
1753473600000,116688.6,117630.0,116578.02,117614.31,1776.47864
1753488000000,117614.31,117750.0,117138.38,117489.62,1222.24277
1753502400000,117489.61,117547.92,117304.46,117304.47,1006.48005
1753516800000,117304.47,118217.45,117304.46,117776.11,1549.30958
1753531200000,117776.1,118220.0,117772.13,118130.1,1303.59734
1753545600000,118130.1,118297.35,117941.96,118232.11,1051.39337
1753560000000,118232.11,118276.66,117883.86,117919.99,858.64895
1753574400000,117919.99,118358.18,117825.5,118182.83,1007.50696
1753588800000,118182.83,118438.83,118066.74,118095.95,808.21213
1753603200000,118095.95,118292.86,117859.98,118072.71,835.9696
1753617600000,118072.71,118588.0,117890.0,118585.74,1586.05165
1753632000000,118585.75,119540.01,118585.75,118960.0,3418.37234
1753646400000,118960.01,119766.65,118713.74,119415.55,1672.19651
1753660800000,119415.56,119800.0,118960.5,119287.99,1824.53168
1753675200000,119287.99,119701.07,118774.31,118900.0,2360.0622
1753689600000,118900.01,119102.69,118475.47,118827.49,2060.1822
1753704000000,118827.49,119093.68,117895.73,118174.9,3792.61028
1753718400000,118174.89,118376.61,117427.5,118068.73,2575.55527
1753732800000,118068.73,118350.01,117500.09,118062.32,1348.80591
1753747200000,118062.32,118800.0,117450.0,118764.85,2242.87768
1753761600000,118764.85,119273.36,118416.66,118882.37,2579.99271
1753776000000,118882.37,119051.0,118160.87,118592.38,1962.95351
1753790400000,118592.38,119080.81,117272.0,117400.01,4173.95638
1753804800000,117400.02,118057.05,116950.75,117525.29,2441.06334
1753819200000,117525.28,118000.0,117094.96,117950.76,1737.09083
1753833600000,117950.75,118250.0,117412.53,118161.87,1226.38506
1753848000000,118161.86,118412.11,117667.33,118123.01,1232.08963
1753862400000,118123.0,118481.81,117358.84,117579.99,2228.01795
1753876800000,117579.99,118792.0,117358.84,118000.01,3794.91612
1753891200000,118000.01,118037.18,115796.23,116916.73,5721.15052
1753905600000,116916.73,117908.4,116880.64,117840.3,1384.17703
1753920000000,117840.29,118600.0,117781.87,118466.14,2307.57332
1753934400000,118466.15,118922.45,118287.63,118665.97,1907.96734
1753948800000,118665.98,118770.07,118278.91,118371.25,1290.20631
1753963200000,118371.25,118702.1,117807.35,118306.18,3457.28095
1753977600000,118306.18,118879.14,116763.43,116785.79,4228.22018
1753992000000,116785.78,116990.04,115500.0,115764.08,3818.7592
1754006400000,115764.07,116052.0,114313.13,115648.03,5440.32571
1754020800000,115648.03,115916.43,114633.18,115081.77,2952.50734
1754035200000,115081.76,115340.0,114116.0,115305.65,3338.52917
1754049600000,115305.64,116019.3,113988.47,115357.82,5325.96286
1754064000000,115357.82,115695.52,113221.93,113328.68,4135.47502
1754078400000,113328.67,114094.08,112722.58,113297.93,3294.30196
1754092800000,113297.92,113921.94,113198.63,113909.86,1422.97261
1754107200000,113909.87,114063.49,113469.43,113982.49,1674.39001
1754121600000,113982.49,114040.29,113425.58,113787.12,1135.36227
1754136000000,113787.11,113787.12,112802.31,112840.71,1922.72871
1754150400000,112840.7,113420.0,112003.0,112229.42,3414.70659
1754164800000,112229.42,113058.82,112069.86,112546.35,1937.17409
1754179200000,112546.35,113740.69,111920.0,113604.2,2106.5441
1754193600000,113604.2,113720.16,113341.06,113700.0,764.27697
1754208000000,113700.0,114260.31,113551.0,113862.18,1260.20877
1754222400000,113862.19,114098.45,113579.69,113959.06,1131.56686
1754236800000,113959.06,114799.97,113775.55,114313.19,1254.96509
1754251200000,114313.19,114612.24,114066.56,114208.8,880.19867
1754265600000,114208.81,115000.0,114107.6,114570.61,1525.00586
1754280000000,114570.61,114778.5,114148.58,114652.97,1221.27307
1754294400000,114652.98,114750.0,114217.97,114493.09,1188.64494
1754308800000,114493.09,115466.0,114121.0,114826.0,2885.46126
1754323200000,114826.01,115720.0,114732.65,114777.62,1843.11618
1754337600000,114777.62,115340.0,114616.33,115055.03,1004.17785
1754352000000,115055.03,115127.81,114256.85,114256.85,1398.92395
1754366400000,114256.85,114500.66,113725.72,113969.7,2125.54323
1754380800000,113969.7,115096.73,113928.87,114827.07,1593.56232
1754395200000,114827.07,114893.13,112650.0,112934.0,4590.4684
1754409600000,112934.0,113763.27,112815.68,113616.52,1434.52074
1754424000000,113616.51,114228.88,113304.0,114129.75,899.77214
1754438400000,114129.75,114139.38,113400.0,113509.97,1061.53764
1754452800000,113509.98,114417.02,113355.13,114227.91,1437.03071
1754467200000,114227.9,114404.23,113727.57,114226.69,1280.29764
1754481600000,114226.68,115515.09,113579.9,115413.87,3509.68013
1754496000000,115413.87,115716.0,114942.18,115259.99,1727.95909
1754510400000,115260.0,115260.0,114793.01,114992.27,744.64797
1754524800000,114992.27,115185.58,114404.22,114546.03,1192.91433
1754539200000,114546.03,114876.79,114259.0,114787.99,1290.96115
1754553600000,114787.99,116828.93,114787.98,116519.53,3698.10885
1754568000000,116519.54,116791.11,116035.84,116689.81,2746.73177
1754582400000,116689.8,117520.0,115632.31,117461.98,2735.62556
1754596800000,117461.99,117621.0,117012.0,117472.01,1804.22097
1754611200000,117472.02,117630.0,116694.28,116737.35,2393.91974
1754625600000,116737.34,116973.3,116401.0,116817.19,1456.27491
1754640000000,116817.2,116914.6,116317.08,116891.51,1108.98011
1754654400000,116891.51,117271.73,115878.71,116207.69,2540.81848
1754668800000,116207.7,116900.0,116006.14,116453.41,1690.79713
1754683200000,116453.41,116980.0,116319.06,116674.74,854.52241
1754697600000,116674.74,116750.0,116299.13,116384.01,971.89236
1754712000000,116384.01,116980.0,116339.45,116756.01,2021.01259
1754726400000,116756.0,117944.05,116756.0,117110.0,2353.3714
1754740800000,117110.0,117238.04,116700.01,116892.47,1382.66437
1754755200000,116892.48,116947.16,116500.0,116535.69,1202.78039
1754769600000,116535.68,117021.16,116359.89,116462.25,1582.41033
1754784000000,116462.25,118500.0,116460.63,118500.0,3892.68324
1754798400000,118500.0,118741.77,117466.34,117808.3,2444.0838
1754812800000,117808.29,118500.0,117608.01,118330.58,1506.32503
1754827200000,118330.58,119113.94,118232.0,118815.0,2809.2276
1754841600000,118815.0,118944.24,118433.8,118663.08,995.85812
1754856000000,118663.09,119311.11,118074.99,119294.01,2674.59294
1754870400000,119294.27,122164.07,118972.59,121728.99,7626.19257
1754884800000,121729.0,122335.16,121466.08,121537.15,4279.8879
1754899200000,121537.14,121823.0,120286.4,120561.54,4216.26732
1754913600000,120561.53,120667.54,119382.91,120314.4,5236.26223
1754928000000,120314.4,120794.05,118604.17,119089.3,2812.92272
1754942400000,119089.3,119172.63,118050.11,118686.0,2322.80155
1754956800000,118686.0,119275.46,118593.39,118857.7,1894.63528
1754971200000,118857.7,119158.06,118424.86,118986.72,3135.38397
1754985600000,118986.73,119058.43,118207.47,118522.22,2346.379
1755000000000,118522.22,119960.0,118285.0,119933.0,4914.05441
1755014400000,119933.0,120192.1,119172.62,119665.27,2309.07117
1755028800000,119665.27,120324.43,119485.84,120134.08,2120.5851
1755043200000,120134.09,120192.1,119094.28,119482.01,2361.00135
1755057600000,119482.01,119820.18,118920.92,119580.4,2324.10298
1755072000000,119580.4,120732.94,119446.22,120570.41,3213.18528
1755086400000,120570.41,122200.0,120106.02,120920.62,7228.67197
1755100800000,120920.61,122839.47,120920.61,122744.21,4167.90157
1755115200000,122744.22,123667.79,122298.2,123306.43,3915.20787
1755129600000,123306.44,124474.0,123250.5,123337.14,3481.676316
1755144000000,123337.14,123428.6,121313.86,121725.31,3755.65744
1755158400000,121725.31,122045.9,120694.0,120949.67,3456.28874
1755172800000,120949.66,121183.06,117632.0,118257.25,11617.06761
1755187200000,118257.26,118535.0,117180.0,117945.92,3545.40524
1755201600000,117945.92,118516.81,117302.33,118295.09,2124.85224
